passenger,,hurt,bloody,injure
death,,injure,,injuried
passeneger,,injuried,,wound
funeral,,wound,,wounded
victim,,rescue,,injury
people,,recover,,hurt
shooter,,,,
suspect,,,,
body,,,,
police,,,,
fatality,,,,
child,,,,
officer,,,,
person,,,,
hundred,,,,
survivor,,,,
firefighter,,,,
worker,,,,
family,,,,
man,,,,
woman,,,,
teenager,,,,
men,,,,
women,,,,
male,,,,
female,,,,
child,,,,
children,,,,
boy,,,,
girl,,,,
boys,,,,
girls,,,,
wife,,,,
spouse,,,,
husband,,,,
suspect,,,,
officer,,,,
teen,,,,
teenager,,,,
youth,,,,
son,,,,
daughter,,,,
police,,,,
authority,,,,
authorities,,,,
gunman,,,,
gunmen,,,,
pedestrian,,,,
pedestrians,,,,
driver,,,,
dozen,,,,
dozens,,,,
