term,freq,flag,category
flood,106,1,T01
fire,96,1,T01
earthquake,43,1,T01
wildfire,38,1,T01
hit,33,1,T01
disaster,30,1,T01
quake,28,1,T01
typhoon,18,1,T01
police,18,1,T01
strike,17,1,T01
evacuation,17,1,T01
toll,15,1,T01
warning,15,1,T01
tsunami,13,1,T01
storm,13,1,T01
haze,13,1,T01
#earthquake,12,1,T01
explosion,11,1,T01
report,10,1,T01
burn,10,1,T01
crash,10,1,T01
destroy,10,1,T01
aftershock,10,1,T01
emergency,10,1,T01
danger,9,1,T01
alert,8,1,T01
#highparkfire,8,1,T01
control,8,1,T01
threat,7,1,T01
crisis,6,1,T01
ravage,6,1,T01
threaten,6,1,T01
victim,5,1,T01
rattle,5,1,T01
shake,5,1,T01
rag,5,1,T01
killer,5,1,T01
#flood,4,1,T01
bomb,4,1,T01
shooter,4,1,T01
collapse,4,1,T01
ban,4,1,T01
havoc,4,1,T01
order,4,1,T01
blast,4,1,T01
#fire,4,1,T01
firefighter,4,1,T01
survivor,4,1,T01
thunderstorm,4,1,T01
rage,3,1,T01
tremor,3,1,T01
shooting,3,1,T01
fight,3,1,T01
recede,3,1,T01
rescue,3,1,T01
outage,3,1,T01
#tsunami,3,1,T01
explode,3,1,T01
wreak,3,1,T01
recovery,3,1,T01
shoot,3,1,T01
battle,3,1,T01
evacuate,3,1,T01
risk,3,1,T01
wildfires,3,1,T01
damage,3,1,T01
attack,3,1,T01
accident,3,1,T01
tornado,3,1,T01
safety,3,1,T01
helpline,3,1,T01
suspect,3,1,T01
spill,3,1,T01
security,2,1,T01
caution,2,1,T01
chopper,2,1,T01
suspend,2,1,T01
cyclone,2,1,T01
rifle,2,1,T01
#fires,2,1,T01
devastation,2,1,T01
destruction,2,1,T01
debris,2,1,T01
epicentre,2,1,T01
erupt,2,1,T01
relief,2,1,T01
dump,2,1,T01
injure,2,1,T01
flatten,2,1,T01
tide,2,1,T01
flooding,2,1,T01
#earthquakeph,2,1,T01
army,2,1,T01
chaos,2,1,T01
bushfires,2,1,T01
#flooding,2,1,T01
hazard,2,1,T01
incident,2,1,T01
bushfire,2,1,T01
sprinkler,2,1,T01
rainstorm,2,1,T01
harm,2,1,T01
advice,2,1,T01
floods,2,1,T01
storms/flooding,1,1,T01
#rains,1,1,T01
kiling,1,1,T01
hurricane-force,1,1,T01
aid,1,1,T01
smudge,1,1,T01
#cofires,1,1,T01
bloody,1,1,T01
gunfire,1,1,T01
#bushfire,1,1,T01
#disaster,1,1,T01
#littlesandfire,1,1,T01
escape,1,1,T01
burglar,1,1,T01
gunman,1,1,T01
#eartquake,1,1,T01
choke,1,1,T01
canyon,1,1,T01
#boulderfire,1,1,T01
deteriorate,1,1,T01
worsening,1,1,T01
hotline,1,1,T01
rain/flooding,1,1,T01
arsonist,1,1,T01
suspension,1,1,T01
#fracking,1,1,T01
#visayasquake,1,1,T01
@coemergency,1,1,T01
severity,1,1,T01
flood-prone,1,1,T01
smokey,1,1,T01
volcano,1,1,T01
#cofire,1,1,T01
@bbcbreaking,1,1,T01
scammer,1,1,T01
#waldocanyonfire,1,1,T01
#nswfires,1,1,T01
#shocking,1,1,T01
